source,row,task,category,ground_truth,is_seen,specialized_loc_prob,specialized_qa_prob,specialized_decision,unified_loc_prob,unified_qa_prob,unified_decision
Завершенные_задачи__Асфальт__,41905,Ямы и выбоины в асфальтобетонном покрытии (Проезд),asphalt,good,False,0.9982,1.0,ACCEPT,0.9999,1.0,ACCEPT
Завершенные_задачи__Асфальт__,7296,Ямы и выбоины в асфальтобетонном покрытии (Проезжая часть),asphalt,good,False,0.9974,1.0,ACCEPT,0.9999,1.0,ACCEPT
Завершенные_задачи__Асфальт__,1639,Ямы и выбоины в асфальтобетонном покрытии (Тротуар),asphalt,good,False,0.9999,1.0,ACCEPT,1.0,1.0,ACCEPT
Завершенные_задачи__Асфальт__,18024,Ямы и выбоины в асфальтобетонном покрытии (Отмостка),asphalt,good,False,1.0,1.0,ACCEPT,1.0,1.0,ACCEPT
Завершенные_задачи__Асфальт__,16049,Ямы и выбоины в асфальтобетонном покрытии (Проезжая часть),asphalt,good,False,0.9998,1.0,ACCEPT,1.0,1.0,ACCEPT
Завершенные_задачи__Асфальт__,14628,Ямы и выбоины в асфальтобетонном покрытии (Проезжая часть),asphalt,good,False,0.9988,1.0,ACCEPT,0.9998,1.0,ACCEPT
Завершенные_задачи__Асфальт__,9144,Ямы и выбоины в асфальтобетонном покрытии (Проезжая часть),asphalt,good,False,0.3953,1.0,HUMAN_REVIEW,0.9999,1.0,ACCEPT
Завершенные_задачи__Асфальт__,6717,Ямы и выбоины в асфальтобетонном покрытии (Проезжая часть),asphalt,good,False,1.0,1.0,ACCEPT,1.0,1.0,ACCEPT
Завершенные_задачи__Асфальт__,35741,Ямы и выбоины в асфальтобетонном покрытии (Проезд),asphalt,good,False,0.9995,1.0,ACCEPT,1.0,1.0,ACCEPT
Завершенные_задачи__Асфальт__,5697,Ямы и выбоины в асфальтобетонном покрытии (Тротуар),asphalt,good,False,1.0,0.9999,ACCEPT,1.0,0.9999,ACCEPT
Завершенные_задачи__Асфальт__,38698,Ямы и выбоины в асфальтобетонном покрытии (Гостевая парковка),asphalt,good,False,0.9999,1.0,ACCEPT,1.0,1.0,ACCEPT
Завершенные_задачи__Асфальт__,27651,Ямы и выбоины в асфальтобетонном покрытии (Тротуар),asphalt,good,False,0.993,1.0,ACCEPT,1.0,1.0,ACCEPT
Завершенные_задачи__Асфальт__,2082,Ямы и выбоины в асфальтобетонном покрытии (Проезжая часть),asphalt,good,False,0.9998,0.9999,ACCEPT,1.0,0.9999,ACCEPT
Завершенные_задачи__Асфальт__,1952,Ямы и выбоины в асфальтобетонном покрытии (Тротуар),asphalt,good,True,0.9998,0.9999,ACCEPT,1.0,0.9999,ACCEPT
Завершенные_задачи__Асфальт__,6140,Ямы и выбоины в асфальтобетонном покрытии (Тротуар),asphalt,good,True,0.9979,1.0,ACCEPT,0.9998,1.0,ACCEPT
Завершенные_задачи__Асфальт__,14328,Ямы и выбоины в асфальтобетонном покрытии (Обочина),asphalt,good,False,0.9997,1.0,ACCEPT,1.0,1.0,ACCEPT
Завершенные_задачи__Асфальт__,15247,Ямы и выбоины в асфальтобетонном покрытии (Проезжая часть),asphalt,good,False,0.9867,0.9991,ACCEPT,0.999,0.9991,ACCEPT
Завершенные_задачи__Асфальт__,33118,Ямы и выбоины в асфальтобетонном покрытии (Проезд),asphalt,good,False,1.0,0.9848,ACCEPT,1.0,0.9848,ACCEPT
Завершенные_задачи__Асфальт__,39453,Ямы и выбоины в асфальтобетонном покрытии (Проезд),asphalt,good,False,0.9998,1.0,ACCEPT,0.9627,1.0,ACCEPT
Завершенные_задачи__Асфальт__,1739,Ямы и выбоины в асфальтобетонном покрытии (Тротуар),asphalt,good,False,0.5774,1.0,HUMAN_REVIEW,0.9998,1.0,ACCEPT
Завершенные_задачи__Асфальт__,36781,Ямы и выбоины в асфальтобетонном покрытии (Проезд),asphalt,good,False,0.9998,1.0,ACCEPT,0.9995,1.0,ACCEPT
Завершенные_задачи__Асфальт__,13031,Ямы и выбоины в асфальтобетонном покрытии (Проезжая часть),asphalt,good,False,0.9994,1.0,ACCEPT,1.0,1.0,ACCEPT
